case_id,launch_inclination,launch_heading,power_off_drag_multiplier,power_on_drag_multiplier,vehicle_mass,total_impulse_multiplier,atmosphere_ensemble,site_elevation
1,85.47912097111927,245.16175480170747,1.0743254171203442,0.8317130228384195,0.004567752375574115,0.9810918722980305,8,-1.9490490157788398
2,78.77756879504105,237.09051936259738,1.0543154268305195,0.9665114970014225,-0.006619259410666513,1.0649614148893032,1,-6.883430737781544
3,87.17195839822764,249.41396048789807,0.9334490292711306,1.0162753065105006,-0.003630538465650718,0.9821868014469287,9,3.1757547340720214
4,83.94736058118728,247.86242242644394,1.023216132306672,1.0586222331359278,-0.003817378939983291,1.0368757784233544,5,-1.111113485493867
5,71.883546957753,245.56766994147523,1.0116685809140729,1.0711226579792854,-0.011958396455890396,0.9533191159995061,10,-7.35403147251329
6,89.51244703273511,233.89277415703936,1.0218688596729013,1.0793347235199926,0.0048697248078558185,0.9897281221066185,0,-5.077895406037708
7,85.22279403980706,239.33442007454067,1.087142877794819,0.9651274927751562,-0.004694023402027239,0.9524988972544709,2,1.5675692372509764
8,85.72128610553908,230.87607531574457,1.0223595548774682,0.9537648207335433,0.0001249411872768743,0.9830483462049718,6,4.190632839471905
9,72.56227265351092,233.08578984135096,1.0678913563071895,1.0857975881257154,0.0048074665890590895,1.0420154068728698,2,9.983654458458933
10,79.00771875791135,243.6609790648491,1.0067579069488892,0.9808695675118385,0.004465311760299441,0.9136339788403826,4,14.569312330036649
11,77.41596048465162,244.89524311815634,1.0289119398689983,0.8724313676662078,0.006653851089727863,1.021721182177293,8,2.0720471663799818
12,88.53529977697204,249.3501946486842,1.063128822583854,0.8866712785996519,-0.0009848548450942362,1.0118867801166138,1,-4.947690600159321
13,82.87730240161329,236.51650716276305,0.8542844180144333,0.9080547713998388,-0.004232983120441538,0.9702925022151603,8,-10.660231403656546
14,86.4552322654166,237.40919412069738,0.9680328783642699,1.0497160744053764,-0.0007971821090639905,0.9276971072805773,1,1.3385573117191791
15,78.86828397654662,239.39111622551616,0.9529627345707204,1.0142425736070566,-0.0168733443395803,1.0036064753856935,2,-4.06470547655163
16,74.54477443569554,233.7894271816857,0.9361122151756658,1.069048535406777,-0.014471124724230873,0.9735253645468098,7,-2.0767863008984264
17,81.0916957403167,232.59843010670943,0.9724857748773317,0.9572747353663466,-0.013226996123544024,1.0116338105677352,10,-3.06048399529904
18,71.27634512208351,239.5140985245187,1.1494941311234397,1.0158539691076713,-0.009972468276014819,1.001092607276172,2,-0.7039544320819263
19,86.55262343985164,234.53818698101767,0.9134168884306757,1.0625590393967337,0.003997742267234366,1.0800889445660458,3,5.329901153938218
20,82.6332879824413,243.39627989365022,1.096827835459148,0.9690653460279761,-0.009054790553600608,0.9880322186263488,12,0.7852428372267231
